# http://www.cl.cam.ac.uk/~mgk25/ucs/keysyms.txt 
# Mapping of X11 keysyms to ISO 10646 / Unicode
#
# The "X11 Window System Protocol" standard (Release 6.4) defines in
# Appendix A the keysym codes. These 29-bit integer values identify
# characters or functions associated with each key (e.g., via the
# visible engraving) of a keyboard layout. In addition, mnemonic macro
# names are provided for the keysyms in the C header file
# <X11/keysymdef.h>. These are compiled (by xc/lib/X11/util/
# makekeys.c) into a hash table that can be accessed with X11 library
# functions such as XStringToKeysym() and XKeysymToString().
#
# The creation of the keysym codes predates ISO 10646 / Unicode, but
# they represent a similar attempt to merge several existing coded
# character sets (mostly early drafts of ISO 8859, as well as some --
# long since forgotten -- DEC font encodings). X.Org and XFree86 have
# agreed that for any future extension of the keysyms with characters
# already found in ISO 10646 / Unicode, the following algorithm will
# be used. The new keysym code position will simply be the character's
# Unicode number plus 0x01000000. The keysym codes in the range
# 0x01000100 0x0110ffff are now reserved to represent Unicode
# characters in the range U0100 to U10FFFF. (Note that the ISO 8859-1
# characters that make up Unicode positions below U0100 are excluded
# from this rule, as they are already covered by the keysyms of the
# same value.)
#
# While most newer Unicode-based X11 clients do already accept
# Unicode-mapped keysyms in the range 0x01000100 to 0x0110ffff, it
# will remain necessary for clients -- in the interest of
# compatibility with existing servers -- to also understand the
# existing keysym values. Clients can use the table below to map the
# pre-Unicode keysym values (0x0100 to 0x20ff) to the corresponding
# Unicode characters for further processing.
#
# The following fields are used in this mapping table:
#
# 1    The hexadecimal X11 keysym number (as defined in Appendix A of
#      the X11 protocol specification and as listed in <X11/keysymdef.h>)
#
# 2    The corresponding Unicode position
#      (U0000 means that there is no equivalent Unicode character)
#
# 3    Status of this keysym and its Unicode mapping
#
#         .  regular -- This is a regular well-established keysym with
#            a straightforward Unicode equivalent (e.g., any keysym
#            derived from ISO 8859). There can be at most one regular
#            keysym associated with each Unicode character.
#
#         d  duplicate -- This keysym has the same Unicode mapping as
#            another one with status 'regular'. It represents a case
#            where keysyms distinguish between several characters that
#            Unicode has unified into a single one (examples are
#            several APL symbols)
#
#         o  obsolete -- While it may be possible to find a Unicode of
#            similar name, the exact semantics of this keysym are
#            unclear, because the font or character set from which it
#            came has never been widely used. Examples are various
#            symbols from the DEC Publishing character set, which may
#            have been used in a special font shipped with the
#            DECwrite product. Where no similar Unicode character
#            can be identified, U0000 is used in column 2.
#
#         f  function -- While it may be possible to find a Unicode
#            of similar name, this keysym differs semantically
#            substantially from the corresponding Unicode character,
#            because it describes a particular function key or will
#            first have to be processed by an input method that will
#            translate it into a proper stream of Unicode characters.
#
#         r  remove -- This is a bogus keysym that was added in error,
#            is not used in any known keyboard layout, and should be
#            removed from both <X11/keysymdef.h> and the standard.
#
#         u  unicode-remap -- This keysym was added rather recently to
#            the <X11/keysymdef.h> of XFree86, but into a number range
#            reserved for future extensions of the standard by
#            X.Org. It is not widely used at present, but its name
#            appears to be sufficiently useful and it should therefore
#            be directly mapped to Unicode in the 0x1xxxxxx range in
#            future versions of <X11/keysymdef.h>. This way, the macro
#            name will be preserved, but the standard will not have to
#            be extended.
#
#      Recommendations for using the keysym status:
#
#        - All keysyms with status regular, duplicate, obsolete and
#          function should be listed in Appendix A of the X11 protocol
#          spec.
#
#        - All keysyms except for those with status remove should be
#          listed in <X11/keysymdef.h>.
#
#        - Keysyms with status duplicate, obsolete, and remove should
#          not be used in future keyboard layouts, as there are other
#          keysyms with status regular, function and unicode-remap
#          that give access to the same Unicode characters.
#
#        - Keysym to Unicode conversion tables in clients should include
#          all mappings except those with status function and those
#          with U0000.
#
# #    comment marker
#
# 4    the name of the X11 keysym macro without the leading XK_,
#      as defined in <X11/keysymdef.h>
#
# The last columns may be followed by comments copied from <X11/keysymdef.h>.
# A keysym may be listed several times, if there are several macro names
# associated with it in <X11/keysymdef.h>.
#
# Author: Markus Kuhn <http://www.cl.cam.ac.uk/~mgk25/>
# Date:   2004-08-08
#
# This table evolved out of an earlier one by Richard Verhoeven, TU Eindhoven.
#
# We begin with the original keysyms found in X11R6.4
#
0x0020   U0020   .   # space
0x0021   U0021   .   # exclam
0x0022   U0022   .   # quotedbl
0x0023   U0023   .   # numbersign
0x0024   U0024   .   # dollar
0x0025   U0025   .   # percent
0x0026   U0026   .   # ampersand
0x0027   U0027   .   # apostrophe
0x0027   U0027   .   # quoteright	/* deprecated */
0x0028   U0028   .   # parenleft
0x0029   U0029   .   # parenright
0x002a   U002a   .   # asterisk
0x002b   U002b   .   # plus
0x002c   U002c   .   # comma
0x002d   U002d   .   # minus
0x002e   U002e   .   # period
0x002f   U002f   .   # slash
0x0030   U0030   .   # 0
0x0031   U0031   .   # 1
0x0032   U0032   .   # 2
0x0033   U0033   .   # 3
0x0034   U0034   .   # 4
0x0035   U0035   .   # 5
0x0036   U0036   .   # 6
0x0037   U0037   .   # 7
0x0038   U0038   .   # 8
0x0039   U0039   .   # 9
0x003a   U003a   .   # colon
0x003b   U003b   .   # semicolon
0x003c   U003c   .   # less
0x003d   U003d   .   # equal
0x003e   U003e   .   # greater
0x003f   U003f   .   # question
0x0040   U0040   .   # at
0x0041   U0041   .   # A
0x0042   U0042   .   # B
0x0043   U0043   .   # C
0x0044   U0044   .   # D
0x0045   U0045   .   # E
0x0046   U0046   .   # F
0x0047   U0047   .   # G
0x0048   U0048   .   # H
0x0049   U0049   .   # I
0x004a   U004a   .   # J
0x004b   U004b   .   # K
0x004c   U004c   .   # L
0x004d   U004d   .   # M
0x004e   U004e   .   # N
0x004f   U004f   .   # O
0x0050   U0050   .   # P
0x0051   U0051   .   # Q
0x0052   U0052   .   # R
0x0053   U0053   .   # S
0x0054   U0054   .   # T
0x0055   U0055   .   # U
0x0056   U0056   .   # V
0x0057   U0057   .   # W
0x0058   U0058   .   # X
0x0059   U0059   .   # Y
0x005a   U005a   .   # Z
0x005b   U005b   .   # bracketleft
0x005c   U005c   .   # backslash
0x005d   U005d   .   # bracketright
0x005e   U005e   .   # asciicircum
0x005f   U005f   .   # underscore
0x0060   U0060   .   # grave
0x0060   U0060   .   # quoteleft	/* deprecated */
0x0061   U0061   .   # a
0x0062   U0062   .   # b
0x0063   U0063   .   # c
0x0064   U0064   .   # d
0x0065   U0065   .   # e
0x0066   U0066   .   # f
0x0067   U0067   .   # g
0x0068   U0068   .   # h
0x0069   U0069   .   # i
0x006a   U006a   .   # j
0x006b   U006b   .   # k
0x006c   U006c   .   # l
0x006d   U006d   .   # m
0x006e   U006e   .   # n
0x006f   U006f   .   # o
0x0070   U0070   .   # p
0x0071   U0071   .   # q
0x0072   U0072   .   # r
0x0073   U0073   .   # s
0x0074   U0074   .   # t
0x0075   U0075   .   # u
0x0076   U0076   .   # v
0x0077   U0077   .   # w
0x0078   U0078   .   # x
0x0079   U0079   .   # y
0x007a   U007a   .   # z
0x007b   U007b   .   # braceleft
0x007c   U007c   .   # bar
0x007d   U007d   .   # braceright
0x007e   U007e   .   # asciitilde
0x00a0   U00a0   .   # nobreakspace
0x00a1   U00a1   .   # exclamdown
0x00a2   U00a2   .   # cent
0x00a3   U00a3   .   # sterling
0x00a4   U00a4   .   # currency
0x00a5   U00a5   .   # yen
0x00a6   U00a6   .   # brokenbar
0x00a7   U00a7   .   # section
0x00a8   U00a8   .   # diaeresis
0x00a9   U00a9   .   # copyright
0x00aa   U00aa   .   # ordfeminine
0x00ab   U00ab   .   # guillemotleft	/* left angle quotation mark */
0x00ac   U00ac   .   # notsign
0x00ad   U00ad   .   # hyphen
0x00ae   U00ae   .   # registered
0x00af   U00af   .   # macron
0x00b0   U00b0   .   # degree
0x00b1   U00b1   .   # plusminus
0x00b2   U00b2   .   # twosuperior
0x00b3   U00b3   .   # threesuperior
0x00b4   U00b4   .   # acute
0x00b5   U00b5   .   # mu
0x00b6   U00b6   .   # paragraph
0x00b7   U00b7   .   # periodcentered
0x00b8   U00b8   .   # cedilla
0x00b9   U00b9   .   # onesuperior
0x00ba   U00ba   .   # masculine
0x00bb   U00bb   .   # guillemotright	/* right angle quotation mark */
0x00bc   U00bc   .   # onequarter
0x00bd   U00bd   .   # onehalf
0x00be   U00be   .   # threequarters
